Strain Name	Virus Type	Subtype/Genotype (ViPR)	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	
01-39	Hepatitis C virus subtype 1a	1a	EU781799	9305	-N/A-	Human	Homo sapiens	USA	genomic RNA	
01L	Hepatitis C virus subtype 1a	1a	EU781796	9315	-N/A-	Human	Homo sapiens	USA	genomic RNA	
01U	Hepatitis C virus subtype 1a	1a	EU781798	9297	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-08	Hepatitis C virus subtype 1a	1a	EU781751	9336	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-11	Hepatitis C virus subtype 1a	1a	EU781800	9289	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-26	Hepatitis C virus subtype 1a	1a	EU781787	9321	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-30	Hepatitis C virus subtype 1a	1a	EU781794	9304	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-35	Hepatitis C virus subtype 1a	1a	EU781795	9315	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-39	Hepatitis C virus subtype 1a	1a	EU781786	9314	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-44	Hepatitis C virus subtype 1a	1a	EU781782	9315	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-46	Hepatitis C virus subtype 1a	1a	EU781804	9312	-N/A-	Human	Homo sapiens	USA	genomic RNA	
02-64	Hepatitis C virus subtype 1a	1a	EU781789	9319	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03-10	Hepatitis C virus subtype 1a	1a	EU781803	9281	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03-11	Hepatitis C virus subtype 1a	1a	EU781752	9326	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03-12	Hepatitis C virus subtype 1a	1a	EU781823	9350	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
03-13	Hepatitis C virus subtype 1a	1a	EU781783	9318	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03-31	Hepatitis C virus subtype 1a	1a	EU781750	9337	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03-32_P1_10.16.03	Hepatitis C virus subtype 1a	1a	EF032883	9275	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
03-36	Hepatitis C virus subtype 1a	1a	EU781768	9316	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03-45	Hepatitis C virus subtype 1a	1a	EU781777	9304	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03-51	Hepatitis C virus subtype 1a	1a	EU781774	9318	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03A	Hepatitis C virus subtype 1a	1a	EU781790	9301	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03D	Hepatitis C virus subtype 1a	1a	EU781760	9316	-N/A-	Human	Homo sapiens	USA	genomic RNA	
03P	Hepatitis C virus subtype 1a	1a	EU781810	9320	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
03S	Hepatitis C virus subtype 1a	1a	EU781780	9326	-N/A-	Human	Homo sapiens	USA	genomic RNA	
99-28	Hepatitis C virus subtype 1a	1a	EU781767	9312	-N/A-	Human	Homo sapiens	USA	genomic RNA	
99-29	Hepatitis C virus subtype 1a	1a	EU781763	9324	-N/A-	Human	Homo sapiens	USA	genomic RNA	
99-31	Hepatitis C virus subtype 1a	1a	EU781773	9316	-N/A-	Human	Homo sapiens	USA	genomic RNA	
99-38	Hepatitis C virus subtype 1a	1a	EU781785	9309	-N/A-	Human	Homo sapiens	USA	genomic RNA	
99H	Hepatitis C virus subtype 1a	1a	EU781770	9327	-N/A-	Human	Homo sapiens	USA	genomic RNA	
99I	Hepatitis C virus subtype 1a	1a	EU781753	9325	-N/A-	Human	Homo sapiens	USA	genomic RNA	
99N	Hepatitis C virus subtype 1a	1a	EU781772	9316	-N/A-	Human	Homo sapiens	USA	genomic RNA	
BR601	Hepatitis C virus subtype 1a	1a	EF032886	9328	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
colonel	Hepatitis C virus subtype 1a	1a	AF290978	9365	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
DN03	Hepatitis C virus subtype 1a	1a	EU781821	9318	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN07	Hepatitis C virus subtype 1a	1a	EU781815	9326	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN08	Hepatitis C virus subtype 1a	1a	EU781820	9298	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN09	Hepatitis C virus subtype 1a	1a	EU781812	9310	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN10	Hepatitis C virus subtype 1a	1a	EU781817	9322	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN11	Hepatitis C virus subtype 1a	1a	EU781807	9304	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN12	Hepatitis C virus subtype 1a	1a	EU781814	9327	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN13	Hepatitis C virus subtype 1a	1a	EU781808	9332	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN14	Hepatitis C virus subtype 1a	1a	EU781824	9345	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN20	Hepatitis C virus subtype 1a	1a	EU781822	9278	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN24	Hepatitis C virus subtype 1a	1a	EU781818	9308	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
DN28	Hepatitis C virus subtype 1a	1a	EU781811	9329	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
F7106	Hepatitis C virus subtype 1a	1a	EU781764	9330	-N/A-	Human	Homo sapiens	USA	genomic RNA	
F7133	Hepatitis C virus subtype 1a	1a	EU781792	9300	-N/A-	Human	Homo sapiens	USA	genomic RNA	
F718P	Hepatitis C virus subtype 1a	1a	EU781765	9317	-N/A-	Human	Homo sapiens	USA	genomic RNA	
F730P	Hepatitis C virus subtype 1a	1a	EU781754	9316	-N/A-	Human	Homo sapiens	USA	genomic RNA	
F742	Hepatitis C virus subtype 1a	1a	EU781758	9318	-N/A-	Human	Homo sapiens	USA	genomic RNA	
F781	Hepatitis C virus subtype 1a	1a	EU781762	9318	-N/A-	Human	Homo sapiens	USA	genomic RNA	
H77	Hepatitis C virus subtype 1a	1a	AF009606	9646	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC-TN	Hepatitis C virus subtype 1a	1a	EF621489	9599	-N/A-	Unknown	-N/A-	USA	genomic RNA	
HCV-1a/CH/BID-V221/2002	Hepatitis C virus subtype 1a	1a	EU155345	9348	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V222/2003	Hepatitis C virus subtype 1a	1a	EU255927	9299	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V223/2003	Hepatitis C virus subtype 1a	1a	EU255943	9313	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V224/2003	Hepatitis C virus subtype 1a	1a	EU255944	9280	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V225/2004	Hepatitis C virus subtype 1a	1a	EU255945	9297	2004	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V226/2005	Hepatitis C virus subtype 1a	1a	EU255946	9345	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V227/2005	Hepatitis C virus subtype 1a	1a	EU482853	9297	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V228/2006	Hepatitis C virus subtype 1a	1a	EU255947	9311	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V229/2006	Hepatitis C virus subtype 1a	1a	EU256069	9378	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V230/2003	Hepatitis C virus subtype 1a	1a	EU255948	9306	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V231/2003	Hepatitis C virus subtype 1a	1a	EU255928	9309	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V232/2003	Hepatitis C virus subtype 1a	1a	EU256070	9303	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V233/2004	Hepatitis C virus subtype 1a	1a	EU255929	9303	2004	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V234/2004	Hepatitis C virus subtype 1a	1a	EU256071	9276	2004	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V235/2005	Hepatitis C virus subtype 1a	1a	EU255949	9304	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V236/2005	Hepatitis C virus subtype 1a	1a	EU155346	9300	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V237/2005	Hepatitis C virus subtype 1a	1a	EU255930	9304	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V238/2005	Hepatitis C virus subtype 1a	1a	EU256072	9285	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V239/2005	Hepatitis C virus subtype 1a	1a	EU155347	9289	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V240/2005	Hepatitis C virus subtype 1a	1a	EU155348	9319	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V241/2005	Hepatitis C virus subtype 1a	1a	EU255950	9296	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V242/2001	Hepatitis C virus subtype 1a	1a	EU482854	9294	2001	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V244/2003	Hepatitis C virus subtype 1a	1a	EU862836	9309	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V245/2005	Hepatitis C virus subtype 1a	1a	EU255951	9410	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V246/2005	Hepatitis C virus subtype 1a	1a	EU155349	9285	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V247/2005	Hepatitis C virus subtype 1a	1a	EU255952	9299	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V248/2006	Hepatitis C virus subtype 1a	1a	EU255953	9387	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V249/2002	Hepatitis C virus subtype 1a	1a	EU482855	9294	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V250/2002	Hepatitis C virus subtype 1a	1a	EU482856	9302	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V251/2005	Hepatitis C virus subtype 1a	1a	EU529681	9300	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V252/2002	Hepatitis C virus subtype 1a	1a	EU255954	9372	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V254/2002	Hepatitis C virus subtype 1a	1a	EU255955	9286	2002	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V256/2003	Hepatitis C virus subtype 1a	1a	EU155350	9278	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V257/2003	Hepatitis C virus subtype 1a	1a	EU155351	9318	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V258/2003	Hepatitis C virus subtype 1a	1a	EU660385	9287	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V259/2003	Hepatitis C virus subtype 1a	1a	EU255956	9305	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V260/2004	Hepatitis C virus subtype 1a	1a	EU255957	9334	2004	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V261/2004	Hepatitis C virus subtype 1a	1a	EU482872	9316	2004	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V262/2004	Hepatitis C virus subtype 1a	1a	EU155352	9310	2004	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V263/2005	Hepatitis C virus subtype 1a	1a	EU482857	9295	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V264/2005	Hepatitis C virus subtype 1a	1a	EU256074	9308	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V265/2005	Hepatitis C virus subtype 1a	1a	EU255958	9304	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V267/2005	Hepatitis C virus subtype 1a	1a	EU155353	9302	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V268/2003	Hepatitis C virus subtype 1a	1a	EU255959	9292	2003	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V269/2005	Hepatitis C virus subtype 1a	1a	EU155354	9309	2005	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V270/2006	Hepatitis C virus subtype 1a	1a	EU155355	9309	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/CH/BID-V271/2006	Hepatitis C virus subtype 1a	1a	EU482858	9302	2006	Human	Homo sapiens	Switzerland	genomic RNA	
HCV-1a/DE/BID-V1562/2005	Hepatitis C virus subtype 1a	1a	EU687193	9272	2005	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V1563/2004	Hepatitis C virus subtype 1a	1a	EU687194	9304	2004	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V1564/2007	Hepatitis C virus subtype 1a	1a	EU687195	9311	2007	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V24/2003	Hepatitis C virus subtype 1a	1a	EU862823	9311	2003	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V25/2003	Hepatitis C virus subtype 1a	1a	EU482831	9283	2003	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V26/2003	Hepatitis C virus subtype 1a	1a	EU155378	9321	2003	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V27/2003	Hepatitis C virus subtype 1a	1a	EU862832	9292	2003	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V28/2003	Hepatitis C virus subtype 1a	1a	EU482873	9288	2003	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V29/2003	Hepatitis C virus subtype 1a	1a	EU155379	9279	2003	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V32/2004	Hepatitis C virus subtype 1a	1a	EU256106	9296	2004	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V33/2004	Hepatitis C virus subtype 1a	1a	EU482832	9288	2004	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V35/2004	Hepatitis C virus subtype 1a	1a	EU155380	9386	2004	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V36/2004	Hepatitis C virus subtype 1a	1a	EU256107	9311	2004	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/DE/BID-V37/2004	Hepatitis C virus subtype 1a	1a	EU862834	9249	2004	Human	Homo sapiens	Germany	genomic RNA	
HCV-1a/US/BID-V1/2005	Hepatitis C virus subtype 1a	1a	EU155247	9334	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V10/2005	Hepatitis C virus subtype 1a	1a	EU260395	9591	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V100/2004	Hepatitis C virus subtype 1a	1a	EU660383	9304	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V101/2004	Hepatitis C virus subtype 1a	1a	EU155213	9392	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V102/2004	Hepatitis C virus subtype 1a	1a	EU255993	9398	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V103/2005	Hepatitis C virus subtype 1a	1a	EU255994	9288	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V104/2005	Hepatitis C virus subtype 1a	1a	EU155214	9304	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V105/2004	Hepatitis C virus subtype 1a	1a	EU155215	9387	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V106/2004	Hepatitis C virus subtype 1a	1a	EU255995	9377	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V107/2003	Hepatitis C virus subtype 1a	1a	EU255996	9315	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V108/2003	Hepatitis C virus subtype 1a	1a	EU255931	9304	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V109/2003	Hepatitis C virus subtype 1a	1a	EU255997	9281	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V11/2004	Hepatitis C virus subtype 1a	1a	EU260396	9280	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V110/2003	Hepatitis C virus subtype 1a	1a	EU256086	9345	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V111/2005	Hepatitis C virus subtype 1a	1a	EU255932	9415	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V112/2003	Hepatitis C virus subtype 1a	1a	EU255933	9389	2003	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V113/2001	Hepatitis C virus subtype 1a	1a	EU255998	9305	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V114/2001	Hepatitis C virus subtype 1a	1a	EU256087	9273	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V115/2001	Hepatitis C virus subtype 1a	1a	EU155216	9298	2001	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V116/2002	Hepatitis C virus subtype 1a	1a	EU255999	9291	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V12/2004	Hepatitis C virus subtype 1a	1a	EU862828	9313	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V13/2005	Hepatitis C virus subtype 1a	1a	EU569723	9297	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V16/2004	Hepatitis C virus subtype 1a	1a	EU256039	9297	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V165/1992	Hepatitis C virus subtype 1a	1a	EU862838	8567	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V166/1992	Hepatitis C virus subtype 1a	1a	EU255963	9318	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V167/1992	Hepatitis C virus subtype 1a	1a	EU255964	9288	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V168/1990	Hepatitis C virus subtype 1a	1a	EU255965	9302	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V169/1996	Hepatitis C virus subtype 1a	1a	EU155338	9308	1996	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V17/2004	Hepatitis C virus subtype 1a	1a	EU482837	9294	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V170/1997	Hepatitis C virus subtype 1a	1a	EU255966	9315	1997	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1705/2007	Hepatitis C virus subtype 1a	1a	FJ024087	9304	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1706/2007	Hepatitis C virus subtype 1a	1a	FJ181999	9288	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1707/2007	Hepatitis C virus subtype 1a	1a	FJ024274	9230	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1708/2007	Hepatitis C virus subtype 1a	1a	FJ024275	9269	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1709/2007	Hepatitis C virus subtype 1a	1a	FJ205867	9337	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V171/1997	Hepatitis C virus subtype 1a	1a	EU255967	9318	1997	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1710/2007	Hepatitis C virus subtype 1a	1a	FJ024276	9269	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1712/2007	Hepatitis C virus subtype 1a	1a	FJ182000	9271	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1713/2007	Hepatitis C virus subtype 1a	1a	FJ024278	9271	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1714/2007	Hepatitis C virus subtype 1a	1a	FJ205868	9313	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1716/2007	Hepatitis C virus subtype 1a	1a	FJ182001	9295	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1717/2007	Hepatitis C virus subtype 1a	1a	FJ024280	9286	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1718/2007	Hepatitis C virus subtype 1a	1a	FJ024281	9301	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1719/2005	Hepatitis C virus subtype 1a	1a	FJ024282	9289	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V172/1990	Hepatitis C virus subtype 1a	1a	EU155339	9273	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1720/2006	Hepatitis C virus subtype 1a	1a	FJ205869	9271	2006	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V173/1989	Hepatitis C virus subtype 1a	1a	EU255968	9288	1989	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V174/1992	Hepatitis C virus subtype 1a	1a	EU255969	9300	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1745/2008	Hepatitis C virus subtype 1a	1a	FJ390394	9287	2008	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1746/2008	Hepatitis C virus subtype 1a	1a	FJ410172	9272	2008	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1747/2008	Hepatitis C virus subtype 1a	1a	FJ390395	9264	2008	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V175/1990	Hepatitis C virus subtype 1a	1a	EU862839	9306	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V1751/2007	Hepatitis C virus subtype 1a	1a	FJ390399	9248	2007	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V176/1992	Hepatitis C virus subtype 1a	1a	EU255970	9296	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V177/1992	Hepatitis C virus subtype 1a	1a	EU234063	9396	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V179/1990	Hepatitis C virus subtype 1a	1a	EU482889	9311	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V18/2004	Hepatitis C virus subtype 1a	1a	EU256040	9415	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V180/1990	Hepatitis C virus subtype 1a	1a	EU255973	9298	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V181/1992	Hepatitis C virus subtype 1a	1a	EU255974	9306	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V182/1990	Hepatitis C virus subtype 1a	1a	EU234064	9292	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V183/1994	Hepatitis C virus subtype 1a	1a	EU255975	9303	1994	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V184/1992	Hepatitis C virus subtype 1a	1a	EU255976	9307	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V185/1991	Hepatitis C virus subtype 1a	1a	EU155340	9273	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V186/1990	Hepatitis C virus subtype 1a	1a	EU482850	9298	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V187/1991	Hepatitis C virus subtype 1a	1a	EU255977	9302	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V188/1991	Hepatitis C virus subtype 1a	1a	EU255978	9292	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V189/1991	Hepatitis C virus subtype 1a	1a	EU255979	9305	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V19/2004	Hepatitis C virus subtype 1a	1a	EU482878	9303	2004	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V190/1990	Hepatitis C virus subtype 1a	1a	EU255980	9296	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V191/1990	Hepatitis C virus subtype 1a	1a	EU255981	9311	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V192/1992	Hepatitis C virus subtype 1a	1a	EU155341	9306	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V194/1990	Hepatitis C virus subtype 1a	1a	EU255982	9302	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V195/1990	Hepatitis C virus subtype 1a	1a	EU255983	9297	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V197/1989	Hepatitis C virus subtype 1a	1a	EU155342	9280	1989	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V2/2005	Hepatitis C virus subtype 1a	1a	EU256041	9309	2005	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V200/1990	Hepatitis C virus subtype 1a	1a	EU255984	9290	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V201/1991	Hepatitis C virus subtype 1a	1a	EU255985	9307	1991	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V203/1989	Hepatitis C virus subtype 1a	1a	EU255986	9305	1989	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V205/1989	Hepatitis C virus subtype 1a	1a	EU255987	9286	1989	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V206/1995	Hepatitis C virus subtype 1a	1a	EU255988	9300	1995	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V208/1990	Hepatitis C virus subtype 1a	1a	EU255989	9311	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V209/1992	Hepatitis C virus subtype 1a	1a	EU255990	9310	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V210/1989	Hepatitis C virus subtype 1a	1a	EU255991	9306	1989	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V212/1990	Hepatitis C virus subtype 1a	1a	EU234065	9273	1990	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V213/1992	Hepatitis C virus subtype 1a	1a	EU255992	9299	1992	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V214/1996	Hepatitis C virus subtype 1a	1a	EU155343	9297	1996	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V2147/2002	Hepatitis C virus subtype 1a	1a	GQ149768	9303	2002	Human	Homo sapiens	USA	genomic RNA	
HCV-1a/US/BID-V215/1989	Hepatitis C virus subtype 1a	1a	EU569722	9312	1989	Human	Homo sapiens	USA	genomic RNA	
